comparison,mean_2008,std_2008,median_2008,n_2008,mean_2009,std_2009,median_2009,n_2009,mean_difference,normal_2008,normal_2009,test_type,u_statistic,p_value,median_diff,effect_size,group1_median,group2_median,group1_n,group2_n,significant
All houses - Overall,11.699991625364486,2.7223184862817615,12.0,262698,11.918597698802735,3.4370363775856814,12.8,274292,-0.21860607343824867,False,False,Mann-Whitney U,32297694544.5,0.0,-0.8000000000000007,0.10353856566550634,12.0,12.8,262698,274292,True
All houses - Daytime,13.09547495303958,2.331917043945048,13.3,118717,13.595459231533681,2.764717126714482,14.2,107669,-0.4999842784941002,False,False,Mann-Whitney U,5283861130.0,0.0,-0.8999999999999986,0.17324315775037313,13.3,14.2,118717,107669,True
All houses - Nighttime,10.54937040303929,2.4715169983799945,10.9,143981,10.835037779898334,3.3935939698602278,11.7,166623,-0.28566737685904364,False,False,Mann-Whitney U,10485444773.0,0.0,-0.7999999999999989,0.12586860659542376,10.9,11.7,143981,166623,True
Active houses - Overall,11.525212230805172,2.7126279544603626,11.8,164797,11.947910470165061,3.4456925244610135,12.8,179873,-0.4226982393598888,False,False,Mann-Whitney U,12685325128.5,0.0,-1.0,0.14411321879230876,11.8,12.8,164797,179873,True
Active houses - Daytime,12.923755030525365,2.349248641626639,13.2,73054,13.611369553156075,2.779559768128182,14.2,70293,-0.6876145226307102,False,False,Mann-Whitney U,2016962215.5,0.0,-1.0,0.21445389585239738,13.2,14.2,73054,70293,True
Active houses - Nighttime,10.411567095037224,2.454667062607284,10.8,91743,10.880840481839751,3.4087098747967532,11.8,109580,-0.46927338680252717,False,False,Mann-Whitney U,4202255054.0,0.0,-1.0,0.16399635636737497,10.8,11.8,91743,109580,True
Control houses - Overall,11.994198220651475,2.7132580413727427,12.3,97901,11.862755377625266,3.419808378070358,12.7,94419,0.13144284302620868,False,False,Mann-Whitney U,4468244402.0,1.6078441581987045e-36,-0.3999999999999986,0.03323617517270927,12.3,12.7,97901,94419,True
Control houses - Daytime,13.370201257035236,2.277169881350682,13.6,45663,13.565536708047945,2.7363709474601556,14.1,37376,-0.19533545101270988,False,False,Mann-Whitney U,764255145.5,3.214240701112907e-148,-0.5,0.1044061445661395,13.6,14.1,45663,37376,True
Control houses - Nighttime,10.79138749569279,2.482411877147763,11.0,52238,10.747050470697545,3.3626454735095503,11.6,57043,0.0443370249952455,False,False,Mann-Whitney U,1405721599.5,9.416867447251993e-59,-0.5999999999999996,0.056503236371369336,11.0,11.6,52238,57043,True
