house_num,pct_above,temp_threshold_median,temp_threshold_q25,temp_threshold_q75,solar_threshold_median,solar_threshold_q25,solar_threshold_q75
1,11.497791626474168,13.866666666666667,13.6,14.566666666666668,0.22333333333333336,0.18333333333333335,0.27666666666666667
2,8.952938316597242,13.116666666666667,12.975,13.633333333333333,0.1366666666666667,0.08,0.17666666666666667
3,26.156901639123614,13.425,13.25,13.65,0.17,0.1125,0.22
4,33.681622002001134,13.25,12.5,14.0,0.17,0.09333333333333334,0.25416666666666665
5,10.211824164016905,13.366666666666667,13.133333333333333,14.299999999999999,0.2233333333333333,0.18333333333333335,0.26
6,53.529093455564045,12.066666666666668,11.433333333333332,12.966666666666667,0.26333333333333336,0.19833333333333333,0.32
7,22.631591593669096,13.475,13.0,14.05,0.21500000000000002,0.1275,0.280625
8,8.58910533910534,13.7,13.600000000000001,13.9,0.095,0.065,0.115
9,40.99864569158744,13.65,13.225,14.80625,0.19,0.1175,0.28875
10,54.83565103713724,13.433333333333335,11.966666666666667,14.1,0.14333333333333334,0.09333333333333334,0.21999999999999997
11,40.613032130725784,14.600000000000001,13.75,15.2,0.1925,0.11249999999999999,0.27
12,61.8411092984449,14.025,13.075,15.225000000000001,0.195,0.12,0.28
13,28.561962064279328,14.35,13.7,14.825000000000001,0.20500000000000002,0.1375,0.2725
14,31.665487003071465,14.7,14.125,15.1,0.2475,0.1725,0.3225
15,50.43688712533688,14.2,13.3,14.975,0.225,0.14750000000000002,0.3025
16,53.44813120271279,14.675,14.075,15.225,0.245,0.165,0.33499999999999996
17,46.00579651941747,14.45,13.725,15.3,0.24375,0.1525,0.335
18,61.744879712958976,15.4375,14.775,16.125,0.2325,0.125,0.35
19,66.85577128877064,14.775,14.1,15.575,0.2375,0.14500000000000002,0.32999999999999996
20,69.82519196641633,14.725,14.1,15.475,0.24,0.1525,0.33
21,25.500960073667898,14.075,13.675,14.65,0.1875,0.11,0.2525
22,36.34506308404475,15.35,14.675,16.05,0.1775,0.1,0.28500000000000003
23,57.21654698546232,15.1,14.5,15.85,0.2,0.10750000000000001,0.3025
24,79.73683704622314,14.9,14.125,15.775,0.16999999999999998,0.0875,0.2825
25,58.455284898137904,14.5,13.825,15.275,0.2275,0.135,0.3175
26,79.17019699014563,15.2,14.525,15.774999999999999,0.2675,0.16125,0.35
27,72.33807019193793,15.325,14.25,16.38125,0.2825,0.1575,0.3925
28,61.75078376999646,15.625,14.6,16.625,0.28,0.155,0.3975
29,77.01776449433336,15.575,14.41875,16.65625,0.2625,0.148125,0.38
30,70.69429548593176,15.675,14.58125,16.775,0.27749999999999997,0.1625,0.38749999999999996
